StreetNameAndWay,SalePrice
HUGHES ST,260000.0
HUMPHREY ST,43176.6
HUNGERFORD ST,104416.75
HUNTINGTON ST,2680512.525
HUYSHOPE AVE,62443.28571428572
IMLAY ST,64333.333333333336
IRVING ST,101800.0
JAMES ST,239250.0
JEFFERSON ST,84583.33333333333
JUDSON ST,39444.444444444445
JULIUS ST,82188.5
KANE ST,633784.0
KELSEY ST,176300.0
KENNETH ST,359966.6666666667
KENSINGTON ST,107000.0
KENT ST,96894.0
KENYON ST,294722.22222222225
KIBBE ST,99790.1
KING ST,163960.0
LAUREL ST,1222818.5413533836
LAWRENCE ST,159714.2857142857
LEBANON ST,149900.0
LEDGER ST,78966.66666666667
LEDYARD ST,349250.0
LEIBERT RD,353750.0
LENOX ST,104285.71428571429
LEWIS ST,0.0
LIBERTY ST,35138.75
LINCOLN ST,95681.0
LINDEN PL,201237.5
LINNMOORE ST,100425.29166666667
LISBON ST,675000.0
LITCHFIELD ST,59600.0
LOCUST ST,340000.0
LOOMIS ST,11852.0
LORRAINE ST,0.0
LOVE LA,80380.85714285714
LYME ST,95068.5
MADISON AVE,370605.6111111111
MADISON ST,81126.38461538461
MAGNOLIA ST,62666.77777777778
MAHL AVE,84441.77777777778
MAIN ST,2871818.7014925373
MANCHESTER ST,101111.11111111111
MANSFIELD ST,55000.07692307692
MAPLE AVE,206386.35
MAPLETON ST,132166.83333333334
MARGARITA DR,150000.0
MARION ST,68731.46666666666
MARSHALL ST,1993218.2666666666
MARTIN ST,114130.80952380953
MATHER ST,61995.07142857143
MAY ST,104950.0
MC KINLEY ST,199900.0
MC LEAN ST,168333.33333333334
MELROSE ST,0.0
MERRILL ST,7866.666666666667
MIDDLEFIELD ST,120000.0
MIDLAND ST,107500.0
MILFORD ST,52621.5
MONROE ST,112200.2
MONTOWESE ST,97828.88888888889
MONTROSE ST,176600.0
MONTVILLE ST,45862.5
MORGAN ST,0.0
MORNINGSIDE ST WEST,53461.77777777778
MORRIS ST,21943.571428571428
MORTSON ST,214900.0
MOUNTAIN ST,67638.75
MOUNTFORD ST,67035.71428571429
MURPHY RD,1165000.0
MYRTLE ST,9675000.0
NATICK ST,165000.0
NAUGATUCK ST,5000.0
NELSON ST,290402.3333333333
NEPAUG ST,76225.0
NEW BRITAIN AVE,328831.08
NEW PARK AVE,157460.12
NEWBURY ST,106849.85714285714
NEWFIELD AVE,115837.5
NEWINGTON AVE,34558.46153846154
NEWTON ST,113300.5
NILAN ST,120667.0
NILES ST,967000.0
NORFOLK ST,163611.11111111112
NORTH BEACON ST,228285.7142857143
NORTH CANAAN ST,15593.5
OAK ST,175000.0
OAKLAND TER,29666.866666666665
OLDS PL,145000.0
OLIVER ST,290000.0
ORANGE ST,437500.0
OSTEN BLVD,108450.0
OTIS ST,108300.125
OWEN ST,81452.0
OXFORD ST,112620.12
PALM ST,132177.77777777778
PARK ST,224054.80952380953
PARK TER,66600.0
PAWTUCKET ST,0.0
PEARL ST,196000.0
PEMBROKE ST,152500.0
PERSHING ST,23400.571428571428
PLAINFIELD ST,128881.14285714286
PLINY ST,107876.92307692308
POMFRET ST,129400.0
PRATT ST,1485000.0
PRESTON ST,109218.5925925926
PRINCETON ST,81828.75
PROSPECT AVE,417850.0
PULASKI DR,168000.0
PUTNAM HTS,78000.0
PUTNAM ST,65596.38461538461
REDDING ST,16666.666666666668
RESERVE RD,1000.0
RETREAT AVE,12000.6
RIDGEFIELD ST,0.0
RISLEY ST,270000.0
ROCKINGHAM ST,0.0
ROCKVILLE ST,0.0
RODNEY ST,225000.0
ROGER ST,113750.0
ROOSEVELT ST,349768.7
ROSE ST,0.0
ROSEMONT ST,86670.0
ROSLYN ST,63975.0
ROWE AVE,103930.0
ROXBURY ST,152400.0
RUSS ST,249425.0
RUTLAND ST,41666.666666666664
SAINT MONICA AVE,0.0
SALISBURY ST,76000.2
SANFORD ST,3166.6666666666665
SARGEANT ST,98418.52631578948
SAYBROOKE ST,69258.5
SCARBOROUGH ST,577250.25
SCHOOL ST,339580.2
SEYMOUR ST,73750.0
SEYMS ST,4998916.666666667
SHARON ST,81812.5625
SHELDON ST,650000.0
SHERBROOKE AVE,86111.11111111111
SHERMAN ST,96865.75
SHULTAS PL,116804.33333333333
SIGOURNEY ST,98422.22222222222
SIMPSON ST,96340.0
SISSON AVE,214050.11111111112
SOMERS ST,103750.0
SOUTH MARSHALL ST,1346251.0
SOUTH ST,215184.36842105264
SOUTH WHITNEY ST,60709.166666666664
SPRAGUE ST,184900.0
SPRING ST,9675000.0
SQUIRE ST,201250.0
STAFFORD ST,121875.0
STANDISH ST,98184.84615384616
STANWOOD ST,26997.5
STERLING ST,67333.33333333333
STONE ST,52666.666666666664
STONINGTON ST,63000.0
STORRS ST,108400.0
SUMNER ST,2211419.6428571427
SUNSET ST,78750.0
TAYLOR DR,112033.33333333333
TEMPLE ST,1518750.0
TERRY RD,343458.3333333333
THOMASTON ST,62955.545454545456
TOWER AVE,77105.88461538461
TOWNLEY ST,72100.0
TREDEAU ST,124430.92307692308
TREMONT ST,111412.11111111111
UNKNOWN,2380000.0
VAN BLOCK AVE,33000.0
VERNON ST,466666.6666666667
VICTORIA RD,73764.63636363637
VINE ST,94611.82352941176
VINELAND TER,68900.0
WADSWORTH ST,0.0
WALNUT ST,90022.75
WARD PL,203000.0
WARD ST,101933.44444444444
WARNER ST,72166.66666666667
WARNER ST EXT,337500.0
WARREN ST,4000.0
WARRENTON AVE,114400.2
WASHINGTON ST,49603.380952380954
WAYLAND ST,197500.0
WEBSTER ST,210436.36363636365
WELLINGTON ST,60000.0
WELLS ST,56154.0
WEST BLVD,1562857.2857142857
WEST CLAY ST,52433.666666666664
WEST PRESTON ST,192860.54545454544
WEST RAYMOND ST,0.0
WEST SERVICE RD,1226666.6666666667
WESTBOURNE PKWY,62500.1
WESTBROOK ST,40562.75
WESTERLY TER,519500.0
WESTLAND ST,171034.57692307694
WESTMINSTER ST,64637.454545454544
WESTON ST,664439.8
WETHERSFIELD AVE,276117.03007518797
WHITE ST,75517.30769230769
WHITMORE ST,229623.33333333334
WHITNEY ST,381625.0
WILBUR ST,94800.0
WILLARD ST,2308768.980952381
WILLIAMS ST,131600.0
WILSON ST,63963.36842105263
WINCHESTER ST,120282.85714285714
WINDHAM ST,83000.0
WINDSOR ST,236244.66666666666
WINSHIP ST,70353.125
WINTER ST,72550.0
WOLCOTT ST,309214.4285714286
WOODLAND ST,41161.968253968254
WOODSIDE CIR,575000.0
WOODSTOCK ST,41860.2
WOOSTER ST,623750.25
WYLLYS ST,2531790.697674419
YALE ST,40.0
YORK ST,199000.0
ZION ST,133864.85
